px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
174.633	33.4484	2.82157	0.485618	0.196073	174.474	33.9157	174.685	33.4095	2.56021	0.960341	1.22804e+06
177.03	34.2158	2.65665	0.274179	-0.120215	177.03	34.2009	177.261	34.3262	2.52363	0.850119	129525
177.043	34.215	2.60231	0.269237	-0.124763	177.211	33.8467	177.261	34.3262	2.52363	0.850119	1.28556e+06
180.066	35.1194	3.6345	0.34011	0.0333077	180.145	35.1423	179.799	35.1289	2.47883	0.732949	138234
179.925	35.11	2.88934	0.411883	0.165215	179.543	35.4767	179.799	35.1289	2.47883	0.732949	1.35362e+06
182.585	35.7585	2.96892	0.177137	-0.143636	182.599	35.753	182.292	35.8114	2.42515	0.611338	144282
182.485	35.7313	2.60612	0.187895	-0.141386	182.047	36.2626	182.292	35.8114	2.42515	0.611338	1.40211e+06
184.733	36.5055	2.5988	0.368147	0.105365	184.732	36.5155	184.73	36.37	2.36226	0.487877	139361
184.719	36.5096	2.38674	0.390628	0.145733	184.833	36.1451	184.73	36.37	2.36226	0.487877	1.46455e+06
186.934	36.9501	2.43282	0.129187	-0.166636	186.946	36.9404	187.103	36.804	2.29017	0.365145	154528
186.996	36.9597	2.4867	0.114564	-0.181708	187.296	36.9375	187.103	36.804	2.29017	0.365145	1.50098e+06
189.442	37.3955	2.77714	0.201794	0.0269928	189.465	37.4052	189.401	37.1147	2.20928	0.245623	137159
189.447	37.4028	2.43216	0.21845	0.0527836	189.738	36.951	189.401	37.1147	2.20928	0.245623	1.5376e+06
191.727	37.569	2.51851	0.0204311	-0.136871	191.735	37.5631	191.615	37.3064	2.12037	0.131591	158316
191.686	37.5536	2.28512	0.00324462	-0.168954	191.682	37.1147	191.615	37.3064	2.12037	0.131591	1.55017e+06
193.492	37.2813	2.02222	-0.252894	-0.242206	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	136352
193.518	37.2904	2.15126	-0.229405	-0.205939	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	1.52846e+06
195.947	37.3837	2.52543	0.26166	0.340379	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	132422
195.836	37.3909	2.01564	0.250663	0.353113	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	1.53694e+06
